tamanho;bubble;insertion;heap;merge;quick;radix
267,35511,35777,5604
268,35778,36045,5610
269,36046,36314,5616
270,36315,36584,5664
271,36585,36855,5742
272,36856,37127,5742
273,37128,37400,5718
274,37401,37674,5760
275,37675,37949,5790
276,37950,38225,5808
277,38226,38502,5838
278,38503,38780,5886
279,38781,39059,5946
280,39060,39339,5892
281,39340,39620,5946
282,39621,39902,5976
283,39903,40185,6012
284,40186,40469,6042
285,40470,40754,6024
286,40755,41040,6102
287,41041,41327,6108
288,41328,41615,6126
289,41616,41904,6126
290,41905,42194,6150
291,42195,42485,6198
292,42486,42777,6288
293,42778,43070,6216
294,43071,43364,6294
295,43365,43659,6330
296,43660,43955,6324
297,43956,44252,6318
298,44253,44550,6390
299,44551,44849,6378
300,44850,45149,6432
301,45150,45450,6444
302,45451,45752,6492
303,45753,46055,6558
304,46056,46359,6564
305,46360,46664,6552
306,46665,46970,6618
307,46971,47277,6630
308,47278,47585,6630
309,47586,47894,6642
310,47895,48204,6738
311,48205,48515,6720
312,48516,48827,6750
313,48828,49140,6768
314,49141,49454,6834
315,49455,49769,6840
316,49770,50085,6846
317,50086,50402,6864
318,50403,50720,6930
319,50721,51039,6906
320,51040,51359,6972
321,51360,51680,6966
322,51681,52002,7002
323,52003,52325,7008
324,52326,52649,7056
325,52650,52974,7092
326,52975,53300,7164
327,53301,53627,7140
328,53628,53955,7182
329,53956,54284,7176
330,54285,54614,7218
331,54615,54945,7230
332,54946,55277,7272
333,55278,55610,7284
334,55611,55944,7350
335,55945,56279,7356
336,56280,56615,7380
337,56616,56952,7356
338,56953,57290,7428
339,57291,57629,7416
340,57630,57969,7422
341,57970,58310,7470
342,58311,58652,7518
343,58653,58995,7524
344,58996,59339,7578
345,59340,59684,7626
346,59685,60030,7650
347,60031,60377,7662
348,60378,60725,7674
349,60726,61074,7728
350,61075,61424,7782
351,61425,61775,7776
352,61776,62127,7806
353,62128,62480,7788
354,62481,62834,7878
355,62835,63189,7842
356,63190,63545,7896
357,63546,63902,7908
358,63903,64260,7956
359,64261,64619,7938
360,64620,64979,8010
361,64980,65340,8004
362,65341,65702,8058
363,65703,66065,8058
364,66066,66429,8124
365,66430,66794,8130
366,66795,67160,8226
367,67161,67527,8190
368,67528,67895,8232
369,67896,68264,8256
370,68265,68634,8316
371,68635,69005,8250
372,69006,69377,8364
373,69378,69750,8370
374,69751,70124,8430
375,70125,70499,8412
376,70500,70875,8418
377,70876,71252,8460
378,71253,71630,8514
379,71631,72009,8478
380,72010,72389,8556
381,72390,72770,8574
382,72771,73152,8664
383,73153,73535,8622
384,73536,73919,8634
385,73920,74304,8616
386,74305,74690,8652
387,74691,75077,8706
388,75078,75465,8724
389,75466,75854,8754
390,75855,76244,8814
391,76245,76635,8808
392,76636,77027,8832
393,77028,77420,8796
394,77421,77814,8904
395,77815,78209,8880
396,78210,78605,8946
397,78606,79002,8922
398,79003,79400,9012
399,79401,79799,9072
400,79800,80199,9066
401,80200,80600,9072
402,80601,81002,9126
403,81003,81405,9084
404,81406,81809,9138
405,81810,82214,9168
406,82215,82620,9282
407,82621,83027,9246
408,83028,83435,9300
409,83436,83844,9300
410,83845,84254,9378
411,84255,84665,9324
412,84666,85077,9330
413,85078,85490,9390
414,85491,85904,9516
415,85905,86319,9462
416,86320,86735,9492
417,86736,87152,9522
418,87153,87570,9552
419,87571,87989,9552
420,87990,88409,9630
421,88410,88830,9660
422,88831,89252,9738
423,89253,89675,9684
424,89676,90099,9720
425,90100,90524,9762
426,90525,90950,9822
427,90951,91377,9798
428,91378,91805,9810
429,91806,92234,9846
430,92235,92664,9996
431,92665,93095,9942
432,93096,93527,9942
433,93528,93960,9960
434,93961,94394,10026
435,94395,94829,10014
436,94830,95265,10002
437,95266,95702,10050
438,95703,96140,10140
439,96141,96579,10086
440,96580,97019,10152
441,97020,97460,10122
442,97461,97902,10206
443,97903,98345,10200
444,98346,98789,10254
445,98790,99234,10272
446,99235,99680,10422
447,99681,100127,10374
448,100128,100575,10404
449,100576,101024,10380
450,101025,101474,10434
451,101475,101925,10446
452,101926,102377,10464
453,102378,102830,10524
454,102831,103284,10602
455,103285,103739,10524
456,103740,104195,10608
457,104196,104652,10614
458,104653,105110,10686
459,105111,105569,10674
460,105570,106029,10728
461,106030,106490,10734
462,106491,106952,10854
